threshold,TP,FP,TN,FN,precision,recall,f1,expected_cost,dispatch_rate,cost_per_dispatch
0.05,13377,1182,686321,0,0.9188,1.0,0.9577,591000.0,0.0208,40.59
0.06,13377,1158,686345,0,0.9203,1.0,0.9585,579000.0,0.0207,39.83
0.07,13377,1146,686357,0,0.9211,1.0,0.9589,573000.0,0.0207,39.45
0.08,13377,1131,686372,0,0.922,1.0,0.9594,565500.0,0.0207,38.98
0.09,13377,1115,686388,0,0.9231,1.0,0.96,557500.0,0.0207,38.47
0.1,13377,1098,686405,0,0.9241,1.0,0.9606,549000.0,0.0207,37.93
0.11,13377,1083,686420,0,0.9251,1.0,0.9611,541500.0,0.0206,37.45
0.12,13377,1062,686441,0,0.9264,1.0,0.9618,531000.0,0.0206,36.78
0.13,13377,1046,686457,0,0.9275,1.0,0.9624,523000.0,0.0206,36.26
0.14,13377,1029,686474,0,0.9286,1.0,0.963,514500.0,0.0206,35.71
0.15,13377,1017,686486,0,0.9293,1.0,0.9634,508500.0,0.0205,35.33
0.16,13377,1006,686497,0,0.9301,1.0,0.9638,503000.0,0.0205,34.97
0.17,13377,996,686507,0,0.9307,1.0,0.9641,498000.0,0.0205,34.65
0.18,13377,967,686536,0,0.9326,1.0,0.9651,483500.0,0.0205,33.71
0.19,13377,938,686565,0,0.9345,1.0,0.9661,469000.0,0.0204,32.76
0.2,13377,928,686575,0,0.9351,1.0,0.9665,464000.0,0.0204,32.44
0.21,13377,921,686582,0,0.9356,1.0,0.9667,460500.0,0.0204,32.21
0.22,13377,912,686591,0,0.9362,1.0,0.967,456000.0,0.0204,31.91
0.23,13377,909,686594,0,0.9364,1.0,0.9671,454500.0,0.0204,31.81
0.24,13377,902,686601,0,0.9368,1.0,0.9674,451000.0,0.0204,31.58
0.25,13377,892,686611,0,0.9375,1.0,0.9677,446000.0,0.0204,31.26
0.26,13377,885,686618,0,0.9379,1.0,0.968,442500.0,0.0203,31.03
0.27,13377,876,686627,0,0.9385,1.0,0.9683,438000.0,0.0203,30.73
0.28,13377,869,686634,0,0.939,1.0,0.9685,434500.0,0.0203,30.5
0.29,13377,864,686639,0,0.9393,1.0,0.9687,432000.0,0.0203,30.33
0.3,13377,858,686645,0,0.9397,1.0,0.9689,429000.0,0.0203,30.14
0.31,13377,855,686648,0,0.9399,1.0,0.969,427500.0,0.0203,30.04
0.32,13377,848,686655,0,0.9404,1.0,0.9693,424000.0,0.0203,29.81
0.33,13377,839,686664,0,0.941,1.0,0.9696,419500.0,0.0203,29.51
0.34,13377,834,686669,0,0.9413,1.0,0.9698,417000.0,0.0203,29.34
0.35,13377,831,686672,0,0.9415,1.0,0.9699,415500.0,0.0203,29.24
0.36,13377,827,686676,0,0.9418,1.0,0.97,413500.0,0.0203,29.11
0.37,13377,823,686680,0,0.942,1.0,0.9702,411500.0,0.0203,28.98
0.38,13377,820,686683,0,0.9422,1.0,0.9703,410000.0,0.0203,28.88
0.39,13377,813,686690,0,0.9427,1.0,0.9705,406500.0,0.0202,28.65
0.4,13377,809,686694,0,0.943,1.0,0.9706,404500.0,0.0202,28.51
0.41,13377,801,686702,0,0.9435,1.0,0.9709,400500.0,0.0202,28.25
0.42,13377,795,686708,0,0.9439,1.0,0.9711,397500.0,0.0202,28.05
0.43,13377,787,686716,0,0.9444,1.0,0.9714,393500.0,0.0202,27.78
0.44,13377,782,686721,0,0.9448,1.0,0.9716,391000.0,0.0202,27.61
0.45,13377,775,686728,0,0.9452,1.0,0.9718,387500.0,0.0202,27.38
0.46,13377,767,686736,0,0.9458,1.0,0.9721,383500.0,0.0202,27.11
0.47,13377,762,686741,0,0.9461,1.0,0.9723,381000.0,0.0202,26.95
0.48,13377,755,686748,0,0.9466,1.0,0.9726,377500.0,0.0202,26.71
0.49,13377,751,686752,0,0.9468,1.0,0.9727,375500.0,0.0202,26.58
0.5,13377,738,686765,0,0.9477,1.0,0.9732,369000.0,0.0201,26.14
0.51,13377,730,686773,0,0.9483,1.0,0.9734,365000.0,0.0201,25.87
0.52,13376,720,686783,1,0.9489,0.9999,0.9738,370000.0,0.0201,26.25
0.53,13376,717,686786,1,0.9491,0.9999,0.9739,368500.0,0.0201,26.15
0.54,13376,710,686793,1,0.9496,0.9999,0.9741,365000.0,0.0201,25.91
0.55,13376,703,686800,1,0.9501,0.9999,0.9744,361500.0,0.0201,25.68
0.56,13376,697,686806,1,0.9505,0.9999,0.9746,358500.0,0.0201,25.47
0.57,13376,690,686813,1,0.9509,0.9999,0.9748,355000.0,0.0201,25.24
0.58,13376,687,686816,1,0.9511,0.9999,0.9749,353500.0,0.0201,25.14
0.59,13376,678,686825,1,0.9518,0.9999,0.9752,349000.0,0.0201,24.83
0.6,13376,673,686830,1,0.9521,0.9999,0.9754,346500.0,0.02,24.66
0.61,13376,662,686841,1,0.9528,0.9999,0.9758,341000.0,0.02,24.29
0.62,13376,659,686844,1,0.953,0.9999,0.9759,339500.0,0.02,24.19
0.63,13376,656,686847,1,0.9532,0.9999,0.976,338000.0,0.02,24.09
0.64,13375,648,686855,2,0.9538,0.9999,0.9763,344000.0,0.02,24.53
0.65,13375,641,686862,2,0.9543,0.9999,0.9765,340500.0,0.02,24.29
0.66,13374,636,686867,3,0.9546,0.9998,0.9767,348000.0,0.02,24.84
0.67,13374,626,686877,3,0.9553,0.9998,0.977,343000.0,0.02,24.5
0.68,13374,615,686888,3,0.956,0.9998,0.9774,337500.0,0.02,24.13
0.69,13373,609,686894,4,0.9564,0.9997,0.9776,344500.0,0.0199,24.64
0.7,13373,605,686898,4,0.9567,0.9997,0.9777,342500.0,0.0199,24.5
0.71,13373,602,686901,4,0.9569,0.9997,0.9778,341000.0,0.0199,24.4
0.72,13371,591,686912,6,0.9577,0.9996,0.9782,355500.0,0.0199,25.46
0.73,13365,585,686918,12,0.9581,0.9991,0.9782,412500.0,0.0199,29.57
0.74,13343,579,686924,34,0.9584,0.9975,0.9775,629500.0,0.0199,45.22
0.75,13262,573,686930,115,0.9586,0.9914,0.9747,1436500.0,0.0197,103.83
0.76,13153,570,686933,224,0.9585,0.9833,0.9707,2525000.0,0.0196,184.0
0.77,13138,561,686942,239,0.959,0.9821,0.9705,2670500.0,0.0195,194.94
0.78,13118,552,686951,259,0.9596,0.9806,0.97,2866000.0,0.0195,209.66
0.79,13104,548,686955,273,0.9599,0.9796,0.9696,3004000.0,0.0195,220.04
0.8,13095,542,686961,282,0.9603,0.9789,0.9695,3091000.0,0.0195,226.66
0.81,13092,528,686975,285,0.9612,0.9787,0.9699,3114000.0,0.0194,228.63
0.82,13085,520,686983,292,0.9618,0.9782,0.9699,3180000.0,0.0194,233.74
0.83,13080,508,686995,297,0.9626,0.9778,0.9701,3224000.0,0.0194,237.27
0.84,13069,497,687006,308,0.9634,0.977,0.9701,3328500.0,0.0194,245.36
0.85,13059,483,687020,318,0.9643,0.9762,0.9702,3421500.0,0.0193,252.66
0.86,13047,468,687035,330,0.9654,0.9753,0.9703,3534000.0,0.0193,261.49
0.87,13039,459,687044,338,0.966,0.9747,0.9703,3609500.0,0.0193,267.41
0.88,13019,451,687052,358,0.9665,0.9732,0.9699,3805500.0,0.0192,282.52
0.89,12992,440,687063,385,0.9672,0.9712,0.9692,4070000.0,0.0192,303.01
0.9,12952,424,687079,425,0.9683,0.9682,0.9683,4462000.0,0.0191,333.58
0.91,12908,410,687093,469,0.9692,0.9649,0.9671,4895000.0,0.019,367.55
0.92,12840,393,687110,537,0.9703,0.9599,0.9651,5566500.0,0.0189,420.65
0.93,12711,348,687155,666,0.9734,0.9502,0.9616,6834000.0,0.0186,523.32
0.94,12122,265,687238,1255,0.9786,0.9062,0.941,12682500.0,0.0177,1023.86
0.95,0,0,687503,13377,0.0,0.0,0.0,133770000.0,0.0,133770000.0
