model,fold,pr_auc,roc_auc,precision,recall,f1_score,balanced_accuracy,mcc,fit_time_sec,n_positive,n_negative
Logistic Regression,1,0.714,0.9953,0.5039,0.9819,0.666,0.9822,0.6969,18.55,2484,137692
Random Forest,1,0.9726,0.9996,0.9367,0.9537,0.9451,0.9763,0.9442,68.24,2484,137692
XGBoost,1,0.9673,0.9988,0.9416,0.9734,0.9572,0.9862,0.9566,12.61,2484,137692
Logistic Regression,2,0.7953,0.9947,0.5095,0.9895,0.6727,0.9859,0.7035,13.47,2562,137614
Random Forest,2,0.9715,0.9994,0.9369,0.9567,0.9467,0.9777,0.9457,68.0,2562,137614
XGBoost,2,0.9713,0.9991,0.9232,0.966,0.9441,0.9823,0.9433,12.0,2562,137614
Logistic Regression,3,0.7585,0.9963,0.4915,0.9978,0.6586,0.9887,0.6931,11.34,2706,137470
Random Forest,3,0.9652,0.9996,0.9476,0.9424,0.945,0.9707,0.9439,69.72,2706,137470
XGBoost,3,0.9732,0.9996,0.9199,0.9501,0.9347,0.9742,0.9336,11.68,2706,137470
Logistic Regression,4,0.7931,0.9947,0.5417,0.9873,0.6995,0.9853,0.7249,13.74,2751,137425
Random Forest,4,0.9707,0.9996,0.9431,0.9527,0.9479,0.9758,0.9469,67.93,2751,137425
XGBoost,4,0.9711,0.999,0.9175,0.9666,0.9414,0.9824,0.9405,11.44,2751,137425
Logistic Regression,5,0.827,0.9882,0.5544,0.9861,0.7097,0.9847,0.7329,13.45,2874,137302
Random Forest,5,0.9734,0.9967,0.967,0.9395,0.9531,0.9694,0.9522,123.37,2874,137302
XGBoost,5,0.9757,0.999,0.9598,0.9388,0.9492,0.969,0.9482,12.59,2874,137302
