check,metric,value
table_size,telemetry_rows,876100
table_size,telemetry_cols,6
table_size,errors_rows,3919
table_size,errors_cols,3
table_size,maint_rows,3286
table_size,maint_cols,3
table_size,failures_rows,761
table_size,failures_cols,3
table_size,machines_rows,100
table_size,machines_cols,3
missing_values,total_missing_cells,0
missing_values,tables_with_missing,0
duplicates,total_duplicate_rows,0
consistency,unique_machines,100
consistency,orphan_errors,0
consistency,orphan_maint,0
consistency,orphan_failures,0
consistency,machines_with_no_telemetry,0
consistency,machines_with_no_events,0
telemetry_summary,total_rows,876100
telemetry_summary,min_timestamp,2015-01-01 06:00:00
telemetry_summary,max_timestamp,2016-01-01 06:00:00
telemetry_summary,avg_rows_per_machine,8761.0
telemetry_summary,machines_with_short_history_lt30d,0
telemetry_gaps,total_gaps_detected,0
frozen_sensors,total_frozen_intervals,0
sensor_range,volt_out_of_range_count,0
sensor_range,rotate_out_of_range_count,1114
sensor_range,pressure_out_of_range_count,0
sensor_range,vibration_out_of_range_count,0
cross_table_integrity,unmatched_failures_count,0
cross_table_integrity,unmatched_maint_count,400
cross_table_integrity,unmatched_errors_count,0
