feature,mean_abs_shap,shap_rank,mean_abs_shap_norm,native_importance,native_rank,native_importance_norm,rank_delta
errors_last_24h,2.84011,1,1.0,0.20072462,2,0.7357517,1
rolling_error_rate_24h,0.86934847,2,0.30609676,0.2728157,1,1.0,1
volt_rolling_mean_24h,0.50699097,3,0.17851102,0.018523928,9,0.067899056,6
pressure_rolling_min_24h,0.36008102,4,0.12678418,0.024225611,6,0.08879845,2
maintenance_count_last_year,0.34081525,5,0.12000072,0.0026957365,27,0.009881163,22
vibration_rolling_mean_24h,0.31938156,6,0.11245394,0.018794771,8,0.06889182,2
error1_count_24h,0.2889845,7,0.10175116,0.011602147,14,0.042527415,7
error2_count_24h,0.27259982,8,0.095982134,0.01593286,12,0.05840155,4
volt_rolling_median_24h,0.27068448,9,0.095307745,0.008150136,17,0.029874146,8
error5_count_24h,0.27008063,10,0.09509513,0.017106133,11,0.06270216,1
pressure_rolling_mean_24h,0.23809487,11,0.08383297,0.017513063,10,0.06419375,1
errors_last_72h,0.23433481,12,0.08250906,0.1822294,3,0.6679579,9
rotate_rolling_mean_24h,0.2297666,13,0.0809006,0.007388867,18,0.02708373,5
maintenance_count_last_30_days,0.20135155,14,0.07089569,0.0005116406,63,0.0018754075,49
vibration_rolling_min_24h,0.19466126,15,0.068540044,0.0041389624,24,0.015171276,9
rotate_rolling_median_24h,0.1708935,16,0.060171437,0.008660842,16,0.031746127,0
error4_count_24h,0.1633256,17,0.05750678,0.00405407,25,0.014860105,8
volt_rolling_min_24h,0.15524687,18,0.054662272,0.0014198517,39,0.0052044354,21
error3_count_24h,0.11388351,19,0.040098272,0.03352586,4,0.12288831,15
rotate_rolling_max_24h,0.11142196,20,0.039231565,0.0013547103,42,0.004965661,22
model_model4,0.11066764,21,0.038965967,0.0007556972,51,0.0027699915,30
vibration_rolling_median_24h,0.09687251,22,0.034108717,0.0061974744,19,0.022716707,3
pressure_rolling_median_24h,0.090203814,23,0.031760674,0.026414884,5,0.09682318,18
model_model1,0.08316395,24,0.029281946,0.0013817896,41,0.0050649196,17
maintenance_count_last_90_days,0.08116165,25,0.028576938,0.0010947323,45,0.0040127174,20
model_model3,0.07659724,26,0.026969815,0.0019082422,32,0.0069946204,6
pressure_rolling_mean_3h,0.06948365,27,0.024465127,0.005515605,20,0.020217331,7
age,0.06921207,28,0.024369502,0.0020989322,30,0.00769359,2
pressure_exp_mean,0.06331158,29,0.022291945,0.0022462516,29,0.008233586,0
vibration_exp_mean,0.061599944,30,0.02168928,0.0055141374,21,0.02021195,9
volt_exp_mean,0.06152647,31,0.02166341,0.01221658,13,0.044779606,18
comp1_maint_count_90d,0.059966814,32,0.021114256,0.0019743417,31,0.0072369063,1
volt_rolling_mean_3h,0.052229047,33,0.018389797,0.0044005797,23,0.01613023,10
rotate_rolling_min_24h,0.050649833,34,0.017833756,0.0014648851,38,0.0053695044,4
vibration_rolling_max_24h,0.049139164,35,0.017301852,0.0013901133,40,0.0050954297,5
volt_exp_std,0.04467344,36,0.015729474,0.00548833,22,0.020117354,14
volt_rolling_max_24h,0.04312122,37,0.015182939,0.0036093122,26,0.013229855,11
rotate_rolling_range_24h,0.036517356,38,0.012857726,0.0011158787,44,0.004090229,6
pressure_rolling_max_24h,0.03554956,39,0.012516965,0.00093288603,47,0.0034194733,8
rotate_exp_mean,0.035149567,40,0.012376129,0.0023326469,28,0.008550266,12
pressure_exp_std,0.03449253,41,0.012144786,0.0016807241,35,0.0061606574,6
vibration_exp_std,0.03394408,42,0.011951678,0.00054151413,61,0.0019849082,19
volt_rolling_range_24h,0.031905696,43,0.011233965,0.0016423505,36,0.0060199997,7
pressure_rolling_min_3h,0.03031953,44,0.010675477,0.00061568466,58,0.0022567788,14
vibration_rolling_range_24h,0.026451437,45,0.009313526,0.0007014051,53,0.0025709851,8
rotate_exp_std,0.026103396,46,0.00919098,0.0008180189,49,0.0029984305,3
volt_rolling_median_3h,0.025668874,47,0.0090379855,0.01032042,15,0.037829276,32
pressure_rolling_median_3h,0.022617918,48,0.007963747,0.0005584332,60,0.0020469246,12
model_model2,0.019369097,49,0.0068198405,0.0008262393,48,0.003028562,1
pressure_div_rotation,0.018877013,50,0.0066465777,0.00025670262,76,0.00094093784,26
pressure_rolling_range_24h,0.018677244,51,0.0065762396,0.0017733308,34,0.0065001054,17
volt_rolling_std_24h,0.018411417,52,0.006482642,0.0004998903,65,0.001832337,13
vibration_rolling_mean_3h,0.01834209,53,0.006458232,0.0018759454,33,0.0068762368,20
pressure_x_vibration,0.017251905,54,0.006074379,0.021768734,7,0.07979282,47
rotate_rolling_min_3h,0.015798302,55,0.005562567,0.00063395087,57,0.002323733,2
rotate_rolling_mean_3h,0.014451615,56,0.0050883996,0.0005018022,64,0.001839345,8
volt_rolling_min_3h,0.013226376,57,0.0046569942,0.0002087918,81,0.0007653218,24
vibration_rolling_median_3h,0.011484617,58,0.0040437225,0.00068560295,54,0.0025130627,4
volt_rolling_max_3h,0.009849455,59,0.0034679836,0.00046759678,67,0.0017139658,8
pressure_rolling_max_3h,0.009394499,60,0.0033077938,0.0004929371,66,0.0018068502,6
comp2_maint_count_90d,0.008874711,61,0.003124777,0.00039529795,70,0.001448956,9
rotate_rolling_std_24h,0.008214,62,0.0028921412,0.0006554024,55,0.002402363,7
comp4_maint_count_90d,0.008092318,63,0.0028492971,0.00025433698,77,0.00093226664,14
vibration_rolling_max_3h,0.008024068,64,0.0028252664,0.001005807,46,0.0036867633,18
vibration_rolling_min_3h,0.0059670187,65,0.0021009815,0.0012060687,43,0.0044208183,22
rotate_rolling_median_3h,0.005943946,66,0.0020928576,0.0002355588,79,0.0008634356,13
vibration_rolling_std_24h,0.0044521475,67,0.0015675968,0.00037826694,72,0.0013865292,5
rotation_div_voltage,0.004300454,68,0.0015141857,0.00015521872,84,0.00056895084,16
pressure_rolling_std_24h,0.0041056843,69,0.0014456075,0.00013098496,85,0.00048012252,16
comp3_maint_count_90d,0.0037623127,70,0.0013247067,0.0015698303,37,0.005754179,33
vibration_delta_12h,0.001967136,71,0.0006926267,0.00021479507,80,0.00078732666,9
pressure,0.0015920809,72,0.00056057016,5.886693e-05,97,0.00021577545,25
vibration_delta_6h,0.00147521,73,0.00051942,0.00011990317,86,0.00043950244,13
volt_delta_12h,0.0014399688,74,0.0005070116,0.00010051493,87,0.00036843529,13
vibration,0.0011962279,75,0.00042119066,0.00076283806,50,0.002796166,25
rotate_rolling_max_3h,0.001154241,76,0.00040640714,0.00026335687,75,0.0009653288,1
volt_zscore,0.0011497531,77,0.00040482695,0.0007273113,52,0.0026659437,25
vibration_zscore,0.00093169307,78,0.00032804822,0.00040406222,69,0.0014810812,9
rotate,0.000904428,79,0.00031844823,5.8684975e-05,98,0.00021510849,19
pressure_rolling_std_3h,0.0009009507,80,0.00031722386,9.5235206e-05,88,0.00034908258,8
volt,0.0008259012,81,0.000290799,8.4438594e-05,91,0.00030950783,10
pressure_delta_6h,0.00074304745,82,0.0002616263,5.1800896e-05,99,0.00018987505,17
volt_acceleration,0.00068009616,83,0.0002394612,2.3133594e-05,109,8.479568e-05,26
pressure_rolling_range_3h,0.0006789209,84,0.00023904738,0.00017779459,83,0.00065170217,1
pressure_delta_12h,0.0006403368,85,0.00022546196,0.00024856054,78,0.0009110932,7
rotate_pct_change_1h,0.0005974601,86,0.00021036512,8.4188556e-05,92,0.00030859132,6
vibration_rolling_std_3h,0.0005710426,87,0.00020106354,7.413346e-05,95,0.00027173458,8
volt_rolling_range_3h,0.00051714265,88,0.00018208542,2.5024045e-05,108,9.172509e-05,20
rotate_delta_12h,0.00048420497,89,0.0001704881,7.56224e-05,93,0.00027719227,4
pressure_delta_3h,0.00045798035,90,0.00016125444,3.6899855e-05,105,0.00013525561,15
rotate_rolling_range_3h,0.0004162185,91,0.00014655013,0.00063476345,56,0.0023267115,35
rotate_delta_3h,0.0004142807,92,0.00014586783,3.5478566e-05,106,0.00013004591,14
voltage_x_rotation,0.0003558676,93,0.00012530063,0.00046125875,68,0.0016907338,25
rotate_rolling_std_3h,0.00032682362,94,0.000115074276,8.959972e-05,90,0.0003284258,4
rotate_zscore,0.00030089525,95,0.00010594493,9.282206e-05,89,0.00034023722,6
volt_delta_1h,0.00029950964,96,0.00010545705,4.4541535e-05,102,0.00016326603,6
vibration_rolling_range_3h,0.00026213413,97,9.2297174e-05,0.0002667642,74,0.0009778184,23
pressure_pct_change_1h,0.00022766874,98,8.0161946e-05,0.00057396665,59,0.0021038621,39
pressure_acceleration,0.00017221321,99,6.0636106e-05,5.1267692e-05,100,0.00018792061,1
vibration_div_pressure,0.00016859849,100,5.9363363e-05,6.0278195e-05,96,0.00022094841,4
volt_delta_6h,0.00015529238,101,5.4678298e-05,3.694573e-05,104,0.00013542376,3
days_since_last_maintenance,0.0001526643,102,5.3752952e-05,0.00039115665,71,0.0014337761,31
pressure_zscore,0.00014954295,103,5.2653926e-05,0.0005358808,62,0.0019642594,41
vibration_delta_1h,0.000118105614,104,4.1584874e-05,0.00020831301,82,0.00076356676,22
