feature,mean_abs_shap
errors_last_24h,2.84011
rolling_error_rate_24h,0.86934847
volt_rolling_mean_24h,0.50699097
pressure_rolling_min_24h,0.36008102
maintenance_count_last_year,0.34081525
vibration_rolling_mean_24h,0.31938156
error1_count_24h,0.2889845
error2_count_24h,0.27259982
volt_rolling_median_24h,0.27068448
error5_count_24h,0.27008063
pressure_rolling_mean_24h,0.23809487
errors_last_72h,0.23433481
rotate_rolling_mean_24h,0.2297666
maintenance_count_last_30_days,0.20135155
vibration_rolling_min_24h,0.19466126
rotate_rolling_median_24h,0.1708935
error4_count_24h,0.1633256
volt_rolling_min_24h,0.15524687
error3_count_24h,0.11388351
rotate_rolling_max_24h,0.11142196
model_model4,0.11066764
vibration_rolling_median_24h,0.09687251
pressure_rolling_median_24h,0.090203814
model_model1,0.08316395
maintenance_count_last_90_days,0.08116165
model_model3,0.07659724
pressure_rolling_mean_3h,0.06948365
age,0.06921207
pressure_exp_mean,0.06331158
vibration_exp_mean,0.061599944
volt_exp_mean,0.06152647
comp1_maint_count_90d,0.059966814
volt_rolling_mean_3h,0.052229047
rotate_rolling_min_24h,0.050649833
vibration_rolling_max_24h,0.049139164
volt_exp_std,0.04467344
volt_rolling_max_24h,0.04312122
rotate_rolling_range_24h,0.036517356
pressure_rolling_max_24h,0.03554956
rotate_exp_mean,0.035149567
pressure_exp_std,0.03449253
vibration_exp_std,0.03394408
volt_rolling_range_24h,0.031905696
pressure_rolling_min_3h,0.03031953
vibration_rolling_range_24h,0.026451437
rotate_exp_std,0.026103396
volt_rolling_median_3h,0.025668874
pressure_rolling_median_3h,0.022617918
model_model2,0.019369097
pressure_div_rotation,0.018877013
pressure_rolling_range_24h,0.018677244
volt_rolling_std_24h,0.018411417
vibration_rolling_mean_3h,0.01834209
pressure_x_vibration,0.017251905
rotate_rolling_min_3h,0.015798302
rotate_rolling_mean_3h,0.014451615
volt_rolling_min_3h,0.013226376
vibration_rolling_median_3h,0.011484617
volt_rolling_max_3h,0.009849455
pressure_rolling_max_3h,0.009394499
comp2_maint_count_90d,0.008874711
rotate_rolling_std_24h,0.008214
comp4_maint_count_90d,0.008092318
vibration_rolling_max_3h,0.008024068
vibration_rolling_min_3h,0.0059670187
rotate_rolling_median_3h,0.005943946
vibration_rolling_std_24h,0.0044521475
rotation_div_voltage,0.004300454
pressure_rolling_std_24h,0.0041056843
comp3_maint_count_90d,0.0037623127
vibration_delta_12h,0.001967136
pressure,0.0015920809
vibration_delta_6h,0.00147521
volt_delta_12h,0.0014399688
vibration,0.0011962279
rotate_rolling_max_3h,0.001154241
volt_zscore,0.0011497531
vibration_zscore,0.00093169307
rotate,0.000904428
pressure_rolling_std_3h,0.0009009507
volt,0.0008259012
pressure_delta_6h,0.00074304745
volt_acceleration,0.00068009616
pressure_rolling_range_3h,0.0006789209
pressure_delta_12h,0.0006403368
rotate_pct_change_1h,0.0005974601
vibration_rolling_std_3h,0.0005710426
volt_rolling_range_3h,0.00051714265
rotate_delta_12h,0.00048420497
pressure_delta_3h,0.00045798035
rotate_rolling_range_3h,0.0004162185
rotate_delta_3h,0.0004142807
voltage_x_rotation,0.0003558676
rotate_rolling_std_3h,0.00032682362
rotate_zscore,0.00030089525
volt_delta_1h,0.00029950964
vibration_rolling_range_3h,0.00026213413
pressure_pct_change_1h,0.00022766874
pressure_acceleration,0.00017221321
vibration_div_pressure,0.00016859849
volt_delta_6h,0.00015529238
days_since_last_maintenance,0.0001526643
pressure_zscore,0.00014954295
vibration_delta_1h,0.000118105614
rotate_acceleration,0.000115335366
volt_velocity,7.901341e-05
days_since_last_error,4.2977925e-05
volt_rolling_std_3h,2.861025e-05
rotate_velocity,2.3411973e-05
vibration_velocity,2.05656e-05
volt_delta_3h,0.0
vibration_acceleration,0.0
pressure_velocity,0.0
vibration_delta_3h,0.0
vibration_pct_change_1h,0.0
rotate_delta_6h,0.0
rotate_delta_1h,0.0
volt_pct_change_1h,0.0
pressure_delta_1h,0.0
